Source,Target,Type,TimeInterval,Label,Category
3417,2287,directed,"<[2002, 2004)>",2,5.0
3417,3437,directed,"<[2002, 2004)>",3,5.0
3417,615,directed,"<[2002, 2004)>",4,5.0
3417,2619,directed,"<[2002, 2004)>",6,5.0
3417,652,directed,"<[2002, 2004)>",7,5.0
3417,1775,directed,"<[2002, 2004)>",8,5.0
3417,2270,directed,"<[2002, 2004)>",9,5.0
3417,3031,directed,"<[2002, 2004)>",11,5.0
3417,1890,directed,"<[2002, 2004)>",12,5.0
3417,2231,directed,"<[2002, 2004)>",13,5.0
3417,2858,directed,"<[2002, 2004)>",14,5.0
3417,1891,directed,"<[2002, 2004)>",16,5.0
3462,1154,directed,"<[2002, 2004)>",19,1.0
2887,1154,directed,"<[2002, 2004)>",20,1.0
1562,1447,directed,"<[2002, 2004)>",22,5.0
1721,3494,directed,"<[2002, 2004)>",25,5.0
1721,1283,directed,"<[2002, 2004)>",26,5.0
1721,674,directed,"<[2002, 2004)>",29,5.0
1721,1906,directed,"<[2002, 2004)>",30,5.0
2930,742,directed,"<[2002, 2004)>",31,1.0
2930,72,directed,"<[2002, 2004)>",32,1.0
2930,2964,directed,"<[2002, 2004)>",33,1.0
1832,2859,directed,"<[2002, 2004)>",37,5.0
924,2200,directed,"<[2002, 2004)>",40,5.0
1721,3494,directed,"<[2002, 2004)>",44,5.0
1562,2700,directed,"<[2004, 2006)>",50,5.0
1562,3180,directed,"<[2004, 2006)>",52,5.0
1562,3217,directed,"<[2004, 2006)>",53,5.0
1562,1447,directed,"<[2004, 2006)>",55,5.0
3140,2344,directed,"<[2004, 2006)>",57,1.0
3140,2111,directed,"<[2004, 2006)>",58,1.0
3140,290,directed,"<[2004, 2006)>",59,1.0
3140,740,directed,"<[2004, 2006)>",60,1.0
3140,3193,directed,"<[2004, 2006)>",62,1.0
3140,2986,directed,"<[2004, 2006)>",63,1.0
3140,2470,directed,"<[2004, 2006)>",64,1.0
3140,1190,directed,"<[2004, 2006)>",65,1.0
2062,1459,directed,"<[2004, 2006)>",66,4.0
3140,768,directed,"<[2004, 2006)>",70,1.0
3140,194,directed,"<[2004, 2006)>",74,1.0
3140,1775,directed,"<[2004, 2006)>",77,1.0
3140,2144,directed,"<[2004, 2006)>",78,1.0
506,1124,directed,"<[2004, 2006)>",82,5.0
1305,2112,directed,"<[2004, 2006)>",84,1.0
1305,2871,directed,"<[2004, 2006)>",85,1.0
1305,2270,directed,"<[2004, 2006)>",89,1.0
1305,3112,directed,"<[2004, 2006)>",90,1.0
1305,752,directed,"<[2004, 2006)>",92,1.0
1550,3119,directed,"<[2004, 2006)>",94,5.0
640,3437,directed,"<[2004, 2006)>",95,1.0
640,2270,directed,"<[2004, 2006)>",96,1.0
917,1746,directed,"<[2004, 2006)>",97,5.0
917,3395,directed,"<[2004, 2006)>",98,5.0
917,615,directed,"<[2004, 2006)>",99,5.0
917,1124,directed,"<[2004, 2006)>",100,5.0
917,2573,directed,"<[2004, 2006)>",103,5.0
3215,75,directed,"<[2004, 2006)>",107,1.0
3215,1286,directed,"<[2004, 2006)>",108,1.0
3215,2569,directed,"<[2004, 2006)>",109,1.0
3215,1154,directed,"<[2004, 2006)>",110,1.0
3215,3448,directed,"<[2004, 2006)>",111,1.0
3215,1459,directed,"<[2004, 2006)>",112,1.0
3215,2144,directed,"<[2004, 2006)>",113,1.0
3215,208,directed,"<[2004, 2006)>",114,1.0
3215,194,directed,"<[2004, 2006)>",115,1.0
3215,733,directed,"<[2004, 2006)>",116,1.0
3215,18,directed,"<[2004, 2006)>",117,1.0
3215,2955,directed,"<[2004, 2006)>",119,1.0
3215,2958,directed,"<[2004, 2006)>",120,1.0
3215,2100,directed,"<[2004, 2006)>",124,1.0
3215,2453,directed,"<[2004, 2006)>",126,1.0
3215,3474,directed,"<[2004, 2006)>",128,1.0
3215,2964,directed,"<[2004, 2006)>",129,1.0
3215,2853,directed,"<[2004, 2006)>",130,1.0
3215,2100,directed,"<[2004, 2006)>",131,1.0
3215,2964,directed,"<[2004, 2006)>",132,1.0
3215,194,directed,"<[2004, 2006)>",133,1.0
3215,2853,directed,"<[2004, 2006)>",134,1.0
640,3437,directed,"<[2004, 2006)>",136,1.0
640,2270,directed,"<[2004, 2006)>",137,1.0
730,2341,directed,"<[2004, 2006)>",138,5.0
730,2964,directed,"<[2004, 2006)>",139,5.0
1480,2043,directed,"<[2004, 2006)>",142,5.0
1480,2526,directed,"<[2004, 2006)>",143,5.0
1480,1799,directed,"<[2004, 2006)>",144,5.0
1480,3091,directed,"<[2004, 2006)>",145,5.0
1480,2609,directed,"<[2004, 2006)>",146,5.0
813,1819,directed,"<[2004, 2006)>",151,4.0
3215,2964,directed,"<[2004, 2006)>",152,1.0
3215,2853,directed,"<[2004, 2006)>",153,1.0
3215,2100,directed,"<[2004, 2006)>",154,1.0
3215,2958,directed,"<[2004, 2006)>",155,1.0
3215,208,directed,"<[2004, 2006)>",157,1.0
3215,194,directed,"<[2004, 2006)>",158,1.0
3215,75,directed,"<[2004, 2006)>",160,1.0
3215,1154,directed,"<[2004, 2006)>",161,1.0
3215,1286,directed,"<[2004, 2006)>",162,1.0
3215,2569,directed,"<[2004, 2006)>",163,1.0
3215,18,directed,"<[2004, 2006)>",165,1.0
3215,3448,directed,"<[2004, 2006)>",166,1.0
3215,2144,directed,"<[2004, 2006)>",167,1.0
3215,768,directed,"<[2004, 2006)>",168,1.0
3215,1775,directed,"<[2004, 2006)>",169,1.0
1417,1370,directed,"<[2004, 2006)>",170,1.0
1417,1371,directed,"<[2004, 2006)>",171,1.0
2930,1555,directed,"<[2004, 2006)>",175,1.0
2930,2455,directed,"<[2004, 2006)>",176,1.0
2930,1749,directed,"<[2004, 2006)>",177,1.0
2930,2320,directed,"<[2004, 2006)>",178,1.0
2930,2347,directed,"<[2004, 2006)>",179,1.0
2930,2091,directed,"<[2004, 2006)>",180,1.0
2930,768,directed,"<[2004, 2006)>",181,1.0
2930,208,directed,"<[2004, 2006)>",182,1.0
2930,2609,directed,"<[2004, 2006)>",183,1.0
1721,2532,directed,"<[2004, 2006)>",186,5.0
1721,1057,directed,"<[2004, 2006)>",187,5.0
1721,353,directed,"<[2004, 2006)>",188,5.0
1721,3095,directed,"<[2004, 2006)>",190,5.0
1721,800,directed,"<[2004, 2006)>",192,5.0
1721,2478,directed,"<[2004, 2006)>",193,5.0
3140,3193,directed,"<[2004, 2006)>",194,1.0
3140,740,directed,"<[2004, 2006)>",195,1.0
3140,290,directed,"<[2004, 2006)>",196,1.0
1228,441,directed,"<[2004, 2006)>",199,1.0
2675,2569,directed,"<[2004, 2006)>",200,1.0
1279,3376,directed,"<[2004, 2006)>",201,1.0
