Id,Label,Troll
5,"EVS Codec Technologies, LLC",1
6,"Gateway, Inc.",0
7,Sandisk Corporation,0
9,"Thrillist Media Group, Inc.",0
10,Haier Group Corporation,0
11,Regions Financial Corporation,0
13,Labyrinth Optical Technologies LLC,1
14,Digitude Innovations LLC,1
15,"SoundHound, Inc.",0
17,Avigilon Corporation,0
18,"Lighthouse Consulting Group, LLC",1
21,Hopewell Culture & Design LLC,1
25,"Harmonix Music Systems, Inc.",0
26,"Wolf Run Hollow, LLC",1
30,Double Rock Corporation,1
31,"Apple Computer, Inc.",0
32,Anu IP LLC,1
34,"Blockbuster, Inc.",0
39,Red River Innovations LLC,1
43,"Avon Products, Inc.",0
48,"Motile Optics, LLC",1
50,"Townshend Intellectual Property, L.L.C.",1
53,"Zimmer, Inc.",0
56,Epic IP LLC,1
57,"A9.com, Inc.",0
62,Boston Scientific Corporation,0
63,Wave Linx LLC,1
65,LGRT Pro LLC,1
66,"Menard, Inc.",0
70,Match.Com LLC,0
71,"XO Communications, LLC",0
74,"Sprint Solutions, Inc.",0
76,"Evolved Wireless, LLC",1
77,"Elia Data of Texas, LLC",1
79,"Things Remembered, Inc.",0
80,STMicroelectronics N.V.,0
82,"Azpen Innovation, Inc.",0
83,"Traxcell Technologies, LLC",1
84,"Implicit, LLC",1
86,"Texas Capital Bancshares, Inc.",0
87,"Acronis, Inc.",0
89,"Turner Digital Basketball Services, Inc.",0
92,"Oriental Trading Company, Inc.",0
93,"CityGrid Media, LLC",0
94,"TigerDirect, Inc.",0
95,"Under Armour, Inc.",0
98,"E-MDs, Inc.",0
99,LifePort Sciences LLC,1
102,"Humana, Inc.",0
103,Hotels.com LP,0
108,The Procter & Gamble Company,0
109,"Leapfrog Enterprises, Inc.",0
110,Exelon Corporation,0
111,Blackboard Inc.,0
112,Cumberland Systems LLC,1
113,"WatchGuard Technologies, Inc.",0
114,Summit 6 LLC,1
116,"Tumblr, Inc.",0
120,Eclipse IP LLC,1
122,"Travelocity.com, Inc.",0
123,"PanOptis Patent Management, LLC",1
124,Blue Water Investment LLC,1
126,"Fitbit, Inc.",0
127,"Belfer Cosmetics, LLC",1
129,"Harley-Davidson, Inc.",0
131,Joao Control & Monitoring Systems LLC,1
132,Spycurity LLC,1
134,"Millennium, L.P.",1
136,Citibank (South Dakota) N.A.,0
139,"BMW of North America, LLC",0
144,"Eyetalk365, LLC",1
145,"Capcom U.S.A., Inc.",0
146,"The TJX Companies, Inc.",0
153,"Super Micro Computer, Inc.",0
158,Webtech Wireless (USA) Inc.,0
159,"Barnes & Noble, Inc.",0
166,New Cingular Wireless Services Inc.,0
168,blackberry,0
171,"DSS Technology Management, Inc.",1
172,Polo Ralph Lauren Corporation,0
175,"Z-Dimensional, LLC",1
181,Stormborn Technologies LLC,1
184,"Target Brands, Inc.",0
187,"Motiva Patents, LLC",1
189,Bluestone Innovations Texas LLC,1
192,Screentone Systems Corporation,1
196,"Avisena, Inc.",0
197,"SolarWinds, Inc.",0
198,"Conn's, Inc.",0
204,Blueprint IP Solutions LLC,1
209,EMC Corporation,0
210,Modern Font Applications,1
214,"MySpace, Inc.",0
216,Wordlogic Corporation,1
218,Realtime Data LLC,1
224,Reflection Code LLC,1
225,"VideoSqope, LLC",1
226,Caddo Systems Inc.,1
228,"QualiQode, LLC",1
233,"Radio One, Inc.",0
234,"Cook Medical, Inc.",0
235,"Morningstar, Inc.",0
238,Advanced Optical Tracking LLC,1
239,"Xirgo Technologies, LLC",0
240,"Infor, Inc.",0
242,Kaleasy Tech LLC,1
260,Hyatt Hotels Corporation,0
262,Soverain Software LLC,1
263,"Digital Playground, Inc.",0
264,"Belkin International, Inc.",0
269,Yamaha Corporation (of America),0
270,JPMorgan Chase & Co.,0
272,Wistron InfoComm (Texas) Corporation,0
274,Phoenix Digital Solutions LLC,1
275,"Carucel Investments, L.P.",1
276,"NEC Technologies, Inc.",0
278,"EMSAT Advanced Geo-Location Technology, LLC",1
280,"Sentius International, LLC",1
282,"Footlocker.com, Inc.",0
283,"Papa John's International, Inc.",0
284,Safeco Corporation,0
289,Red Pine Point LLC,1
290,"Millennium Commerce, LLC",1
291,"Bed Bath & Beyond, Inc.",0
293,"Lorex Technology, Inc.",0
295,"Telinit Technologies, LLC",1
297,"Arris Solutions, Inc.",0
300,"Chico's FAS, Inc.",0
304,toyota,1
305,"Realnetworks, Inc.",0
306,S.A.N. Nutrition Corp.,0
310,Compass Bank,0
311,The New York Times Company,0
313,Rmail Limited,1
315,Deere & Co,0
316,Unify Inc.,0
317,ASUS Computer International,0
318,"Jaguar Land Rover North America, LLC",0
320,Lululemon Athletica Inc.,0
321,"Third Dimension Semiconductor, Inc",1
327,SmartDisk Corporation,1
328,MacNeil IP LLC,1
329,Fleetmatics USA Inc,0
330,"Pizza Hut, Inc.",0
332,WebMD LLC,0
333,Papst Licensing GmbH & Co. KG,1
334,BB&T Corporation,0
335,huawei,0
337,"IP Co., LLC",1
338,"Eastbay, Inc.",0
339,"BMW Manufacturing Co., LLC",0
341,Vibrant Media Inc.,0
344,Fujifilm North America Corporation,0
346,"Communications Patents, Ltd.",1
351,M2M Solutions LLC,1
353,Cinemark USA Inc,0
355,Beck Branch LLC,1
357,Razer USA Ltd.,0
359,Bluebonnet Telecommunications L.L.C.,1
364,BNSF Railway Company,0
368,"DataTern, Inc.",1
369,"Supersonic, Inc.",0
374,"Gymboree Retail Stores, Inc.",0
380,Kinglite Holdings Inc.,1
381,SmartPhone Technologies LLC,1
382,Document Generation Corporation,1
383,"Build-A-Bear Workshop, Inc.",0
386,"Valentine Communications, LLC",1
387,"PJC Logistics, LLC",1
388,"Roku, Inc.",0
390,BMO Harris Bank N.A.,0
392,"T.M. Patents, L.P.",1
394,UTC Fire & Security Corporation,0
395,Safeway Inc.,0
397,Quest Licensing Corporation,1
399,"Tendler Cellular of Texas, LLC",1
402,TPV Technology Ltd,0
407,iLife Technologies Inc,1
408,"The Broadvox Holding Company, LLC",0
409,Paramount Pictures Corporation,0
410,"Magtek, Inc.",0
412,"Kevique Technology, LLC",1
419,"TravelZoo, Inc.",0
423,Mobile Transformation LLC,1
424,Wells Fargo & Company,0
427,InfoSonics Corporation,0
433,Verve L. L. C.,1
434,Service Reminder LLC,1
435,American Vehicular Sciences LLC,1
436,Bonutti Skeletal Innovations LLC,1
437,"Level 3 Communications, LLC",0
439,Canon Inc.,0
440,Express Card Systems LLC,1
442,Infineon Technologies AG,0
446,"Photonic Imaging Solutions, Inc.",1
450,Viewsonic Corporation,0
